data;quimica;ferro_gusa_aco;ceramica;papel_celulose;alimentos_bebidas;nao_ferroso;mineiracao;textil;outros_industrial;residencial_com;transporte_gnv;nao_energetico;refino_petroleo
01/01/1970;0,008333333;0;0;0;0;0;0;0;0;0;0;0,008219178;0,128767123
01/01/1971;0,033333333;0;0;0;0;0;0;0;0;0;0;0,057534247;0,134246575
01/01/1972;0,061111111;0;0;0;0;0;0;0;0;0;0;0,139726027;0,164383562
01/01/1973;0,063888889;0;0;0;0;0;0;0;0;0;0;0,210958904;0,156164384
01/01/1974;0,066666667;0,386111111;0;0;0;0;0;0;0;0;0;0,221917808;0,183561644
01/01/1975;0,075;0,405555556;0;0;0;0;0;0;0;0;0;0,252054795;0,208219178
01/01/1976;0,094444444;0,405555556;0,008333333;0;0;0;0;0;0;0;0;0,405479452;0,202739726
01/01/1977;0,322222222;0,386111111;0,016666667;0;0;0;0;0;0;0;0;0,336986301;0,216438356
01/01/1978;0,291666667;0,380555556;0,005555556;0;0;0;0;0;0;0;0;0,912328767;0,219178082
01/01/1979;0,347222222;0,369444444;0,005555556;0;0;0;0;0;0;0;0;1,057534247;0,205479452
01/01/1980;0,497222222;0,358333333;0,008333333;0;0;0;0;0;0;0;0;1,238356164;0,216438356
01/01/1981;0,630555556;0,341666667;0,008333333;0,008333333;0;0;0;0;0;0;0;0,882191781;0,260273973
01/01/1982;0,75;0,283333333;0,008333333;0,036111111;0;0;0;0;0;0;0;1,320547945;0,298630137
01/01/1983;0,805555556;0,333333333;0,008333333;0,030555556;0;0;0;0;0;0;0;2,194520548;0,816438356
01/01/1984;0,847222222;0,316666667;0,027777778;0,025;0;0;0,163888889;0;0,027777778;0;0;2,402739726;1,038356164
01/01/1985;0,836111111;0,622222222;0,069444444;0,044444444;0,027777778;0;0,183333333;0;0,086111111;0;0;2,597260274;1,336986301
01/01/1986;0,888888889;0,894444444;0,075;0,083333333;0,080555556;0;0,197222222;0,013888889;0,127777778;0;0;2,84109589;1,41369863
01/01/1987;0,908333333;1,138888889;0,097222222;0,097222222;0,188888889;0,033333333;0,136111111;0,019444444;0,455555556;0,005479452;0;3,032876712;1,846575342
01/01/1988;0,836111111;1,027777778;0,144444444;0,077777778;0,2;0,172222222;0,188888889;0,097222222;0,516666667;0;0,008219178;3,060273973;1,797260274
01/01/1989;0,933333333;1,127777778;0,188888889;0,094444444;0,180555556;0,066666667;0,258333333;0,083333333;0,436111111;0,008219178;0,005479452;3,331506849;1,808219178
01/01/1990;0,994444444;1,052777778;0,191666667;0,172222222;0,413888889;0,086111111;0,255555556;0,163888889;0,811111111;0,021917808;0,005479452;2,597260274;1,816438356
01/01/1991;1,083333333;1,138888889;0,186111111;0,202777778;0,391666667;0,091666667;0,266666667;0,191666667;0,805555556;0,02739726;0,005479452;2,734246575;1,843835616
01/01/1992;1,272222222;1,222222222;0,277777778;0,25;0,527777778;0,097222222;0,205555556;0,222222222;0,788888889;0,024657534;0;2,849315068;1,77260274
01/01/1993;1,336111111;1,208333333;0,311111111;0,280555556;0,544444444;0,136111111;0,230555556;0,238888889;1,025;0,090410959;0,068493151;2,84109589;1,767123288
01/01/1994;1,422222222;1,402777778;0,327777778;0,288888889;0,5;0,111111111;0,241666667;0,252777778;0,977777778;0,131506849;0,126027397;3,065753425;1,865753425
01/01/1995;1,611111111;1,894444444;0,358333333;0,394444444;0,516666667;0,052777778;0,252777778;0,297222222;1,083333333;0,24109589;0,134246575;2,619178082;1,846575342
01/01/1996;1,905555556;2,336111111;0,283333333;0,45;0,8;0,080555556;0,347222222;0,591666667;1,063888889;0,331506849;0,098630137;2,405479452;1,6
01/01/1997;3,013888889;2,233333333;0,322222222;0,45;0,466666667;0,113888889;0,486111111;0,225;1,458333333;0,473972603;0,128767123;2,104109589;1,536986301
01/01/1998;3,244444444;1,908333333;0,422222222;0,458333333;0,630555556;0,077777778;0,336111111;0,247222222;1,230555556;0,432876712;0,361643836;2,315068493;1,687671233
01/01/1999;3,388888889;2,030555556;0,491666667;0,691666667;0,708333333;0,169444444;0,447222222;0,297222222;1,383333333;0,37260274;0,435616438;2,210958904;2,150684932
01/01/2000;3,952777778;2,311111111;0,822222222;0,861111111;0,713888889;0,466666667;0,447222222;0,541666667;1,791666667;0,547945205;0,857534247;2,276712329;3,260273973
01/01/2001;4,319444444;2,319444444;1,358333333;1,244444444;0,85;0,513888889;0,894444444;0,586111111;2,119444444;0,876712329;1,567123288;2,18630137;3,424657534
01/01/2002;5,147222222;2,841666667;2,230555556;1,255555556;1,283333333;0,880555556;0,575;0,75;2,566666667;1,106849315;2,684931507;2,249315068;2,115068493
01/01/2003;5,211111111;2,875;2,488888889;1,344444444;1,363888889;1,033333333;0,602777778;0,833333333;2,694444444;1,290410959;3,638356164;2,167123288;2,323835616
01/01/2004;6,511111111;2,955555556;2,422222222;1,447222222;1,55;1,427777778;0,722222222;0,941666667;2,988888889;1,383561644;4,328767123;2,295890411;3,204003288
01/01/2005;6,815689746;3,513903064;2,621694447;1,63938576;1,612581567;1,547601833;0,850733372;1,032964565;3,107526116;1,483731325;5,327776407;2,325751978;3,913706844
01/01/2006;7,057148532;3,486726571;2,845424374;1,766324097;1,763014512;1,665315813;0,821415019;1,053680822;3,354381987;1,65369863;6,319452055;2,365205479;4,92630137
01/01/2007;7,130555556;3,830555556;3,030555556;1,883333333;1,852777778;1,994444444;0,733998228;1,175;3,744444444;1,757669283;7,010958904;2,401643836;5,778082192
01/01/2008;7,332222222;3,654291559;3,178526039;1,606193407;1,835334605;2,131179957;1,344139208;1,016580575;4,497517959;1,431588783;6,719570933;2,210958904;5,086034437
01/01/2009;7,185577778;2,193333333;3,083170258;1,525883737;1,743567875;1,278333333;0,537777778;0,945419935;4,317617241;1,520078082;5,77;2,233068493;4,585205479
01/01/2010;7,226286288;2,830165402;3,601082085;2,134822459;2,089656278;2,293434747;1,983582094;1,037161394;5;1,616607337;5,500263438;4,522377237;4,405391781
01/01/2011;7,691309931;3,564779407;4,108227886;2,386679376;2,16952826;2,6588;2,192851786;1,030963797;5,268090183;1,593898004;5,402739726;2,792935082;7,528307962
01/01/2012;6,999870364;3,846361581;4,147894726;2,426388819;2,272851304;2,703739778;2,125351786;1,000779157;4,955575579;1,659103483;5,32;2,796414534;8,442689176
01/01/2013;6,429402776;4,05202363;4,272495029;2,553090347;2,170824171;2,973055556;1,999861348;0,986208935;4,869008072;1,703276376;5,128767123;2,602739726;8,690308657
01/01/2014;6,382576851;3,269460669;4,225826978;2,676279138;2,822623232;2,828018056;2,232295508;0,78193053;4,817082302;1,646066666;4,963013699;2,130136986;9,464171534
01/01/2015;7,015188039;3,86190231;4,179308596;2,54055646;2,631013877;1,870691434;2,074671753;0,678133993;4,715511239;1,460364226;4,834229385;2,132465753;10,26500822
01/01/2016;6,937849233;3,195323216;4,181743687;2,454742483;2,629206352;1,779646083;1,293187983;0,622992853;4,846047692;1,661770142;4,96;2,108635616;10,88896535
01/01/2017;6,826578784;3,663343963;4,186377372;2,562644574;2,682524091;1,850907223;1,31460772;0,704951082;4,589158189;1,599973403;5,4;2,146125469;9,802247113
01/01/2018;7,646091244;3,695347263;3,921877189;3,05942759;2,788531065;1,312584837;1,372089009;0,728338015;4,579672494;1,734392017;6,059521545;1,800328767;8,359869226
01/01/2019;6,144401381;3,798936975;3,942850478;2,888333636;2,75513413;1,280454105;0,979043097;0,684968956;3,723497577;1,727870753;6,259150685;0,963972603;10,84810461
01/01/2020;5,744251068;3,599640019;3,527342549;2,840187504;2,554648832;0,984231951;0,706775904;0,551042224;2,20676199;1,729618045;5,164109589;0,673972603;12,55060298
01/01/2021;6,303012784;4,075090411;4,396472837;3,287600902;2,793481807;1,786040999;0,826152926;0,566678856;3,402506626;1,84685777;5,94;2,343972603;11,06629252
01/01/2022;6,243683407;4,332528899;4,145080117;3,273488427;2,787224815;1,553142325;0,857272888;0,529243477;5,097580692;1,964785784;6,2;3,033972603;10,0721375
