date;tresR;Alvopetro;Compass;ERG;Eagle;Equinor;GALP;NFE;Origem;petrobras;Petroreconcavo;Potiguar;Shell;Tradener
01/01/2022;0;1000000;0;40000;15000;50000;1150000;0;0;5810000;400000;80000;1590000;0
01/02/2022;0;1000000;0;40000;15000;50000;1150000;0;640000;6480000;400000;80000;1590000;0
01/03/2022;0;1000000;0;40000;15000;50000;1425000;0;640000;6360000;400000;80000;1590000;0
01/04/2022;0;1000000;0;40000;15000;50000;1685000;150000;640000;6360000;400000;80000;1590000;0
01/05/2022;0;1000000;0;40000;15000;50000;1685000;150000;640000;6360000;400000;80000;1590000;0
01/06/2022;95000;1000000;0;40000;15000;50000;1685000;150000;640000;6360000;400000;80000;1590000;0
01/07/2022;120000;1000000;0;40000;15000;50000;1985000;150000;760000;6360000;600000;80000;1590000;0
01/08/2022;120000;1000000;0;40000;15000;50000;2005000;150000;760000;6360000;600000;80000;1590000;0
01/09/2022;120000;1000000;0;40000;15000;50000;2005000;150000;760000;6360000;600000;80000;1640000;0
01/10/2022;120000;1000000;0;40000;150000;50000;2005000;150000;840000;6360000;600000;80000;1640000;930000
01/11/2022;120000;1000000;0;40000;150000;50000;2015000;150000;840000;6360000;600000;80000;1640000;930000
01/12/2022;120000;1000000;0;40000;150000;50000;2015000;150000;840000;6360000;600000;80000;1640000;930000
01/01/2023;177000;1000000;0;40000;150000;500000;2195000;150000;1640000;5835000;800000;120000;1300000;930000
01/02/2023;177000;1000000;0;40000;150000;500000;2195000;150000;1640000;5835000;800000;120000;1300000;930000
01/03/2023;177000;1000000;0;40000;150000;500000;2195000;150000;1640000;5875000;800000;120000;1300000;930000
01/04/2023;177000;1000000;0;40000;150000;500000;2195000;150000;1640000;5875000;800000;120000;1300000;930000
01/05/2023;177000;1000000;0;40000;150000;500000;2195000;150000;1640000;5875000;800000;120000;1300000;930000
01/06/2023;177000;1000000;0;40000;150000;500000;2195000;150000;1640000;5875000;800000;120000;1300000;930000
01/07/2023;577000;1000000;3125000;40000;150000;500000;2525000;150000;1640000;5475000;800000;120000;1300000;930000
01/08/2023;577000;1000000;3125000;40000;150000;500000;2525000;150000;1640000;5475000;860000;120000;1300000;930000
01/09/2023;577000;1000000;3125000;40000;150000;500000;2525000;150000;1640000;5585000;860000;120000;1300000;930000
01/10/2023;577000;1000000;3125000;40000;150000;500000;2535000;150000;1640000;5585000;860000;120000;1300000;930000
01/11/2023;577000;1000000;3125000;40000;150000;500000;2535000;150000;1640000;5585000;860000;120000;1300000;930000
01/12/2023;577000;1000000;3125000;40000;150000;500000;2535000;150000;1640000;12285000;860000;120000;1300000;930000
01/01/2024;640000;1000000;3125000;40000;150000;450000;2447000;150000;1583000;28358000;1430000;120000;540000;630000
01/02/2024;640000;1000000;3125000;40000;150000;450000;2447000;150000;1583000;29558000;1430000;0;540000;630000
01/03/2024;840000;1000000;3125000;40000;150000;450000;2447000;150000;1583000;28358000;1430000;0;540000;630000
01/04/2024;640000;1000000;3125000;40000;150000;450000;2447000;150000;1583000;28332396;1430000;0;540000;630000
01/05/2024;630402;1000000;3125000;40000;150000;450000;2447000;150000;1583000;28229985;1430000;0;540000;630000
01/06/2024;587211;1000000;3125000;40000;150000;450000;2447000;150000;1583000;28217184;1430000;0;540000;630000
01/07/2024;329382;1000000;3125000;40000;150000;450000;2447000;150000;1583000;28217184;1430000;0;540000;630000
01/08/2024;329382;1000000;3125000;40000;150000;450000;2447000;150000;1583000;28217184;1430000;0;540000;630000
01/09/2024;329382;1000000;3125000;40000;150000;450000;2447000;150000;1583000;28217184;1430000;0;540000;630000
01/10/2024;329382;1000000;3125000;40000;150000;450000;2447000;150000;1583000;28217184;1430000;0;540000;630000
01/11/2024;329382;1000000;3125000;40000;150000;450000;2447000;150000;1583000;28217184;1430000;0;540000;630000
01/12/2024;329382;1000000;3125000;40000;150000;450000;2447000;150000;1583000;28217184;1430000;0;540000;630000
01/01/2025;329382;0;3125000;0;150000;200000;1536000;150000;1033000;27600184;1530000;0;385000;0
01/02/2025;329382;0;3125000;0;150000;200000;1536000;150000;1033000;27600184;1530000;0;385000;0
01/03/2025;329382;0;3125000;0;150000;200000;1536000;150000;1033000;27280184;1530000;0;385000;0
01/04/2025;329382;0;3125000;0;150000;200000;1536000;150000;1033000;27280184;1530000;0;385000;0
01/05/2025;329382;0;3125000;0;150000;200000;1536000;150000;1033000;27280184;1530000;0;385000;0
01/06/2025;329382;0;3125000;0;150000;200000;1536000;150000;1033000;27280184;1530000;0;385000;0
01/07/2025;329382;0;3125000;0;150000;200000;1536000;150000;1033000;27280184;1530000;0;385000;0
01/08/2025;329382;0;3125000;0;150000;200000;1536000;150000;1033000;27280184;1530000;0;385000;0
01/09/2025;329382;0;3125000;0;150000;200000;1536000;150000;1033000;27280184;1530000;0;385000;0
01/10/2025;329382;0;3125000;0;150000;200000;1536000;150000;1033000;27280184;1530000;0;385000;0
01/11/2025;329382;0;3125000;0;150000;200000;1536000;150000;1033000;27280184;1530000;0;385000;0
01/12/2025;329382;0;3125000;0;150000;200000;1536000;150000;1033000;27435184;1530000;0;385000;0
01/01/2026;40000;0;3125000;0;150000;10000;2763000;150000;1033000;23889184;1350000;0;215000;0
01/02/2026;40000;0;3125000;0;150000;10000;2763000;150000;1033000;23889184;1350000;0;215000;0
01/03/2026;40000;0;3125000;0;150000;10000;2763000;150000;1033000;23889184;1350000;0;215000;0
01/04/2026;40000;0;3125000;0;150000;10000;2763000;150000;1033000;23889184;1350000;0;215000;0
01/05/2026;40000;0;3125000;0;150000;10000;2763000;150000;1033000;23889184;1350000;0;215000;0
01/06/2026;40000;0;3125000;0;150000;10000;2763000;150000;1033000;23889184;1350000;0;215000;0
01/07/2026;40000;0;3125000;0;150000;10000;2763000;150000;1033000;23889184;1350000;0;215000;0
01/08/2026;40000;0;3125000;0;150000;10000;2763000;150000;1033000;23889184;1350000;0;215000;0
01/09/2026;40000;0;3125000;0;150000;10000;2763000;150000;1033000;23889184;1350000;0;215000;0
01/10/2026;40000;0;3125000;0;150000;10000;2763000;150000;1033000;23889184;1350000;0;215000;0
01/11/2026;40000;0;3125000;0;150000;10000;2763000;150000;1033000;23889184;1350000;0;215000;0
01/12/2026;40000;0;3125000;0;150000;10000;2763000;150000;1033000;23889184;1350000;0;215000;0
01/01/2027;40000;0;3125000;0;150000;10000;3143000;150000;1033000;22929184;350000;0;215000;0
01/02/2027;40000;0;3125000;0;150000;10000;3143000;150000;1033000;22929184;350000;0;215000;0
01/03/2027;40000;0;3125000;0;150000;10000;3143000;150000;1033000;22929184;350000;0;215000;0
01/04/2027;40000;0;3125000;0;0;10000;3143000;150000;1033000;22929184;350000;0;215000;0
01/05/2027;40000;0;3125000;0;0;10000;3143000;0;1033000;22929184;350000;0;215000;0
01/06/2027;40000;0;3125000;0;0;10000;3143000;0;1033000;22929184;350000;0;215000;0
01/07/2027;40000;0;3125000;0;0;10000;3143000;0;1033000;22929184;350000;0;65000;0
01/08/2027;40000;0;3125000;0;0;10000;3143000;0;1033000;22929184;350000;0;65000;0
01/09/2027;40000;0;3125000;0;0;10000;3143000;0;1033000;22929184;350000;0;65000;0
01/10/2027;40000;0;3125000;0;0;10000;3143000;0;1033000;22929184;350000;0;65000;0
01/11/2027;40000;0;3125000;0;0;10000;3143000;0;1033000;22929184;350000;0;65000;0
01/12/2027;40000;0;3125000;0;0;10000;3143000;0;1033000;22929184;350000;0;65000;0
01/01/2028;0;0;3125000;0;0;10000;3123000;0;1033000;22443184;350000;0;65000;0
01/02/2028;0;0;3125000;0;0;10000;3123000;0;1033000;22443184;350000;0;65000;0
01/03/2028;0;0;3125000;0;0;10000;3123000;0;1033000;22443184;350000;0;65000;0
01/04/2028;0;0;3125000;0;0;10000;3123000;0;1033000;22443184;350000;0;65000;0
01/05/2028;0;0;3125000;0;0;10000;3123000;0;1033000;22443184;350000;0;65000;0
01/06/2028;0;0;3125000;0;0;10000;3123000;0;1033000;22443184;350000;0;65000;0
01/07/2028;0;0;3125000;0;0;10000;3123000;0;1033000;22443184;350000;0;65000;0
01/08/2028;0;0;3125000;0;0;10000;3123000;0;1033000;22443184;350000;0;65000;0
01/09/2028;0;0;3125000;0;0;10000;3123000;0;1033000;22443184;350000;0;65000;0
01/10/2028;0;0;3125000;0;0;10000;3123000;0;1033000;22443184;350000;0;65000;0
01/11/2028;0;0;3125000;0;0;10000;3123000;0;1033000;22443184;350000;0;65000;0
01/12/2028;0;0;3125000;0;0;10000;3123000;0;1033000;22443184;350000;0;65000;0
01/01/2029;0;0;3125000;0;0;0;3123000;0;0;19378184;350000;0;65000;0
01/02/2029;0;0;3125000;0;0;0;3123000;0;0;19378184;350000;0;65000;0
01/03/2029;0;0;3125000;0;0;0;3123000;0;0;19378184;350000;0;65000;0
01/04/2029;0;0;3125000;0;0;0;3123000;0;0;19378184;350000;0;65000;0
01/05/2029;0;0;3125000;0;0;0;3123000;0;0;19378184;350000;0;65000;0
01/06/2029;0;0;3125000;0;0;0;3123000;0;0;19378184;350000;0;65000;0
01/07/2029;0;0;3125000;0;0;0;3123000;0;0;19378184;350000;0;65000;0
01/08/2029;0;0;3125000;0;0;0;3123000;0;0;19378184;350000;0;65000;0
01/09/2029;0;0;3125000;0;0;0;3123000;0;0;19378184;350000;0;65000;0
01/10/2029;0;0;3125000;0;0;0;3123000;0;0;19378184;350000;0;65000;0
01/11/2029;0;0;3125000;0;0;0;3123000;0;0;19378184;350000;0;65000;0
01/12/2029;0;0;3125000;0;0;0;3123000;0;0;19378184;350000;0;65000;0
01/01/2030;0;0;3125000;0;0;0;3123000;0;0;18808184;350000;0;65000;0
01/02/2030;0;0;3125000;0;0;0;3123000;0;0;18808184;350000;0;65000;0
01/03/2030;0;0;3125000;0;0;0;3123000;0;0;18808184;350000;0;65000;0
01/04/2030;0;0;3125000;0;0;0;3123000;0;0;18808184;350000;0;65000;0
01/05/2030;0;0;3125000;0;0;0;3123000;0;0;18808184;350000;0;65000;0
01/06/2030;0;0;3125000;0;0;0;3123000;0;0;18808184;350000;0;65000;0
01/07/2030;0;0;3125000;0;0;0;3123000;0;0;18808184;350000;0;65000;0
01/08/2030;0;0;3125000;0;0;0;3123000;0;0;18808184;350000;0;65000;0
01/09/2030;0;0;3125000;0;0;0;3123000;0;0;18808184;350000;0;65000;0
01/10/2030;0;0;3125000;0;0;0;3123000;0;0;18808184;350000;0;65000;0
01/11/2030;0;0;3125000;0;0;0;3123000;0;0;18808184;350000;0;65000;0
01/12/2030;0;0;3125000;0;0;0;3123000;0;0;18808184;350000;0;65000;0
01/01/2031;0;0;3125000;0;0;0;3123000;0;0;18241184;350000;0;65000;0
01/02/2031;0;0;3125000;0;0;0;3123000;0;0;18241184;350000;0;65000;0
01/03/2031;0;0;3125000;0;0;0;3123000;0;0;18241184;350000;0;65000;0
01/04/2031;0;0;3125000;0;0;0;3123000;0;0;18241184;350000;0;65000;0
01/05/2031;0;0;3125000;0;0;0;3123000;0;0;18241184;350000;0;65000;0
01/06/2031;0;0;3125000;0;0;0;3123000;0;0;18241184;350000;0;65000;0
01/07/2031;0;0;3125000;0;0;0;3123000;0;0;18241184;350000;0;65000;0
01/08/2031;0;0;3125000;0;0;0;3123000;0;0;18241184;350000;0;65000;0
01/09/2031;0;0;3125000;0;0;0;3123000;0;0;18241184;350000;0;65000;0
01/10/2031;0;0;3125000;0;0;0;3123000;0;0;18241184;350000;0;65000;0
01/11/2031;0;0;3125000;0;0;0;3123000;0;0;18241184;350000;0;65000;0
01/12/2031;0;0;3125000;0;0;0;3123000;0;0;18241184;350000;0;65000;0
01/01/2032;0;0;3125000;0;0;0;2860000;0;0;18163184;350000;0;65000;0
01/02/2032;0;0;3125000;0;0;0;2860000;0;0;18163184;350000;0;65000;0
01/03/2032;0;0;3125000;0;0;0;2860000;0;0;18163184;350000;0;65000;0
01/04/2032;0;0;3125000;0;0;0;2860000;0;0;18163184;350000;0;65000;0
01/05/2032;0;0;3125000;0;0;0;2860000;0;0;18163184;350000;0;65000;0
01/06/2032;0;0;3125000;0;0;0;2860000;0;0;18163184;350000;0;65000;0
01/07/2032;0;0;3125000;0;0;0;2860000;0;0;18163184;350000;0;65000;0
01/08/2032;0;0;3125000;0;0;0;2860000;0;0;18163184;350000;0;65000;0
01/09/2032;0;0;3125000;0;0;0;2860000;0;0;18163184;350000;0;65000;0
01/10/2032;0;0;3125000;0;0;0;2860000;0;0;18163184;350000;0;65000;0
01/11/2032;0;0;3125000;0;0;0;2860000;0;0;18163184;350000;0;65000;0
01/12/2032;0;0;3125000;0;0;0;2860000;0;0;18163184;350000;0;65000;0
01/01/2033;0;0;3125000;0;0;0;1400000;0;0;14764000;350000;0;65000;0
01/02/2033;0;0;3125000;0;0;0;1400000;0;0;14764000;350000;0;65000;0
01/03/2033;0;0;3125000;0;0;0;1400000;0;0;14764000;350000;0;65000;0
01/04/2033;0;0;3125000;0;0;0;1400000;0;0;14764000;350000;0;65000;0
01/05/2033;0;0;3125000;0;0;0;1400000;0;0;14764000;350000;0;65000;0
01/06/2033;0;0;3125000;0;0;0;1400000;0;0;14764000;350000;0;65000;0
01/07/2033;0;0;0;0;0;0;1400000;0;0;14764000;350000;0;65000;0
01/08/2033;0;0;0;0;0;0;1400000;0;0;14764000;350000;0;65000;0
01/09/2033;0;0;0;0;0;0;1400000;0;0;14764000;350000;0;65000;0
01/10/2033;0;0;0;0;0;0;1400000;0;0;14764000;350000;0;65000;0
01/11/2033;0;0;0;0;0;0;1400000;0;0;14764000;350000;0;65000;0
01/12/2033;0;0;0;0;0;0;1400000;0;0;14764000;350000;0;65000;0
01/01/2034;0;0;0;0;0;0;1200000;0;0;14719000;0;0;10000;0
01/02/2034;0;0;0;0;0;0;1200000;0;0;14719000;0;0;10000;0
01/03/2034;0;0;0;0;0;0;1200000;0;0;14719000;0;0;10000;0
01/04/2034;0;0;0;0;0;0;1200000;0;0;14719000;0;0;10000;0
01/05/2034;0;0;0;0;0;0;1200000;0;0;14719000;0;0;10000;0
01/06/2034;0;0;0;0;0;0;1200000;0;0;14719000;0;0;10000;0
01/07/2034;0;0;0;0;0;0;1200000;0;0;14719000;0;0;10000;0
01/08/2034;0;0;0;0;0;0;1200000;0;0;14719000;0;0;10000;0
01/09/2034;0;0;0;0;0;0;1200000;0;0;14719000;0;0;10000;0
01/10/2034;0;0;0;0;0;0;1200000;0;0;14719000;0;0;10000;0
01/11/2034;0;0;0;0;0;0;1200000;0;0;14719000;0;0;10000;0
01/12/2034;0;0;0;0;0;0;1200000;0;0;14719000;0;0;10000;0
